RU063095087=			
RU058703095=	Ba3	3/21/2011	MDL
RU025386183=			
RU064317644=	Ba3	2/12/2013	MDL
RU088940202=	Ba3	2/12/2013	MDL
RU036104180=	Ba3	3/21/2011	MDL
RU088940105=	Ba3	2/12/2013	MDL
RU058703109=	Ba3	3/21/2011	MDL
RU064318322=	Ba3	2/12/2013	MDL
RU088940172=	Ba3	2/12/2013	MDL
RU030828780=			
RU099327995=			
RU090864947=			
RU091325748=			
LU093758439=	Baa2	7/5/2013	MDL
RU063355739=	Baa2	7/5/2013	MDL
RU061647864=	BBB	10/25/2013	SPI
RU061647864=	Baa3	2/24/2009	MDL
RU061647864=	WD	7/27/2006	FIS
RU061647864=	WD	1/10/2014	FDL
RU061421319=	BBB	10/25/2013	SPI
RU061421319=	Baa3	2/24/2009	MDL
RU061421319=	WD	7/27/2006	FIS
RU061421319=	WD	1/10/2014	FDL
RU081973938=	Baa2	7/5/2013	MDL
RU083785004=	Baa2	7/5/2013	MDL
RU020221810=	Baa2	7/5/2013	MDL
RU049199813=	Baa2	7/5/2013	MDL
RU080734069=	Baa2	7/5/2013	MDL
RU023068311=			
RU084744131=	Baa2	7/5/2013	MDL
RU069962971=	Baa2	7/5/2013	MDL
RU024410528=	Baa2	7/5/2013	MDL
RU062030844=	BBB	10/25/2013	SPI
RU062030844=	Baa3	2/24/2009	MDL
RU062030844=	WD	7/27/2006	FIS
RU062030844=	WD	1/10/2014	FDL
RU082538330=	Baa2	7/5/2013	MDL
RU077250948=	Baa2	7/5/2013	MDL
RU086356929=	Baa2	7/5/2013	MDL
RU059279459=	Baa2	7/5/2013	MDL
RU036592397=	Baa2	7/5/2013	MDL
RU054863365=	Baa2	7/5/2013	MDL
RU084207853=	Baa2	7/5/2013	MDL
RU022371592=	Baa2	7/5/2013	MDL
RU081059683=			
IT047367115=	Caa1	12/13/2011	MDL
LU043836226=	B3	4/18/2013	MDL
IT056306587=	B3	4/18/2013	MDL
BM092346536=	B3	4/18/2013	MDL
/RU25068RMFS=MM	BBB	12/8/2008	SPI
/RU25068RMFS=MM	Baa1	3/27/2013	MIS
/RU25068RMFS=MM	Baa1	3/27/2013	MDL
/RU25068RMFS=MM	WD	7/25/2006	FIS
/RU25068RMFS=MM	BBB	2/4/2009	FDL
/RU25071RMFS=MM	BBB	12/8/2008	SPI
/RU25071RMFS=MM	Baa1	3/27/2013	MIS
/RU25071RMFS=MM	Baa1	3/27/2013	MDL
/RU25071RMFS=MM	WD	7/25/2006	FIS
/RU25071RMFS=MM	BBB	2/4/2009	FDL
