RU054436297=	MORGAN STANLEY ETRADING	XS0544362972=MSFI
RU054436297=	MORGAN STANLEY TRADEWEB PRICE	XS0544362972=MSTW
RU054436297=	TRFIT COMPOSITE	XS0544362972=R
RU054436297=	TRADEWEB	XS054436297=TE
RU054436297=	UBS ETRADING	XS0544362972=UBS
RU054436297=	UNICREDIT TRADEWEB PRICE	XS0544362972=UCTW
RU054436297=	UBS AG ETRADING	XS0544362972=UPIN
RU054436297=	UBS TRADEWEB PRICE	XS0544362972=USTW
RU054436297=	BROKERCREDITSERVICE	XS0544362972=BCSB
RU054436297=	BGC PARTNERS	XS0544362972=CNTR
RU054436297=	ICAP	XS0544362972=ICPR
RU054436297=	PREMEX	XS0544362972=PRMX
RU054436297=	THOMSON REUTERS COMPOSITE EMEA	RU054436297=
RU054436297=	BNP PARIBAS	XS0544362972=BPGL
RU054436297=	CCM	XS0544362972=CCAP
RU054436297=	CONTINENTAL CAPITAL MARKETS	XS0544362972=CCMG
RU054436297=	TRUST AND INVESTMENT BANK	RU054436297=DIBM
RU054436297=	RAIFFEISEN ZENTRALBANK	XS0544362972=RZBV
RU054436297=	SBERBANK CIB	XS0544362972=SBER
RU054436297=	MARKETAXESS L2	XS054436297=2M
RU054436297=	BERLIN STOCK EXCHANGE	DEA1A1L0=BE
RU054436297=	FRANKFURT STOCK EXCHANGE	DEA1A1L0=F
RU054436297=	LONDON STOCK EXCHANGE	GBB3S2WN5=L
RU054436297=	STUTTGART STOCK EXCHANGE	DEA1A1L0=SG
RU054436297=	TESTING	XS0544362972=CBKT
RU054436297=	TESTING	XS0544362972=CSEQ
RU054436297=	TESTING	XS0544362972=MLRT
RU054436297=	TESTING	XS0544362972=MSCT
RU054436297=	FINRA	G0226HAA1=FINR
RU054436297=	THOMSON REUTERS EVALUATED	RU054436297=RRPS
RU083241250=	MARKETAXESS	XS083241250=1M
RU083241250=	BOA MERRILL LYNCH ETRADING	XS0832412505=BOAM
RU083241250=	COMMERZBANK ETRADING	XS0832412505=CBKG
RU083241250=	COMMERZBANK TRADEWEB PRICE	XS0832412505=CBTW
RU083241250=	CREDIT SUISSE ETRADING	XS0832412505=CSEM
RU083241250=	CREDIT SUISSE ETRADING	XS0832412505=CSTR
RU083241250=	DEUTSCHE BANK AUTOBAHN	XS0832412505=DBAB
RU083241250=	GOLDMAN SACHS ETRADING	XS0832412505=GSCR
RU083241250=	GOLDMAN SACHS TRADEWEB PRICE	XS0832412505=GSTW
RU083241250=	JEFFERIES INTL ETRADING	XS0832412505=JEFX
RU083241250=	JEFFERIES INTL TRADEWEB PRICE	XS0832412505=JFTW
RU083241250=	JP MORGAN TRADEWEB PRICE	XS0832412505=JPTW
RU083241250=	MORGAN STANLEY ETRADING	XS0832412505=MSFI
RU083241250=	MORGAN STANLEY TRADEWEB PRICE	XS0832412505=MSTW
RU083241250=	TRFIT COMPOSITE	XS0832412505=R
RU083241250=	TRADEWEB	XS083241250=TE
RU083241250=	UBS ETRADING	XS0832412505=UBS
RU083241250=	UNICREDIT TRADEWEB PRICE	XS0832412505=UCTW
RU083241250=	UBS AG ETRADING	XS0832412505=UPIN
RU083241250=	UBS TRADEWEB PRICE	XS0832412505=USTW
RU083241250=	BROKERCREDITSERVICE	XS0832412505=BCSB
RU083241250=	PREMEX	XS0832412505=PRMX
RU083241250=	THOMSON REUTERS COMPOSITE EMEA	RU083241250=
RU083241250=	CCM	XS0832412505=CCAP
RU083241250=	CONTINENTAL CAPITAL MARKETS	XS0832412505=CCMG
RU083241250=	SBERBANK CIB	XS0832412505=SBER
RU083241250=	MARKETAXESS L2	XS083241250=2M
RU083241250=	BERLIN STOCK EXCHANGE	DEA1G92M=BE
RU083241250=	FRANKFURT STOCK EXCHANGE	DEA1G92M=F
RU083241250=	IRISH STOCK EXCHANGE	IEB8272C0=I
RU083241250=	TESTING	XS0832412505=CSEQ
RU083241250=	TESTING	XS0832412505=MSCT
RU083241250=	FINRA	G0226QAC7=FINR
RU083241250=	THOMSON REUTERS EVALUATED	RU083241250=RRPS
RU062069520=	MARKETAXESS	XS062069520=1M
RU062069520=	BNP PARIBAS TRADEWEB PRICE	XS0620695204=BNTW
