RU088663268=		
RU099316268=		
RU099316268=	11/21/2013	5.942
RU063095087=		
RU063095087=	5/27/2011	5.125
RU058703095=		
RU058703095=	2/2/2011	6.493
RU025386183=		
RU025386183=	5/22/2006	8.25
RU064317644=		
RU064317644=	6/29/2011	6.2546
RU088940202=		
RU088940202=	2/13/2013	9
RU036104180=		
RU036104180=	4/30/2008	9.125
RU088940105=		
RU088940105=	2/13/2013	5.2
RU058703109=		
RU058703109=	2/2/2011	7.748
RU064318322=		
RU064318322=	6/29/2011	7.5043
RU088940172=		
RU088940172=	2/13/2013	5.95
RU030828780=		
RU030828780=	6/27/2007	11
RU030828780=	6/27/2012	8.45
RU030828780=	6/27/2013	8.17
RU030828780=	12/27/2013	8.17
RU099327995=		
RU099327995=	11/14/2013	9
LU093758439=		
LU093758439=	6/3/2013	1.3
RU063355739=		
RU063355739=	6/6/2011	3.4
RU061647864=		
RU061647864=	4/20/2011	9.5
RU061421319=		
RU061421319=	4/13/2011	9.05
RU081973938=		
RU081973938=	8/28/2012	2.9
RU083785004=		
RU083785004=	10/1/2012	2.75
RU020221810=		
RU020221810=	10/12/2004	5
RU049199813=		
RU049199813=	3/4/2010	6.465
RU080734069=		
RU080734069=	7/20/2012	4
RU023068311=		
RU023068311=	9/29/2005	6.2
RU023068311=	10/1/2010	5.01
RU023068311=	3/29/2012	5.01
RU084744131=		
RU084744131=	10/30/2012	4.5
RU069962971=		
RU069962971=	11/17/2011	5
RU024410528=		
RU024410528=	2/15/2006	4.25
RU062030844=		
RU062030844=	5/5/2011	9.5
RU082538330=		
RU082538330=	9/26/2012	3.15
RU077250948=		
RU077250948=	4/12/2012	6
RU086356929=		
RU086356929=	12/11/2012	7.5
RU059279459=		
RU059279459=	2/22/2011	6.315
RU036592397=		
RU036592397=	5/28/2008	6.875
RU054863365=		
RU054863365=	10/13/2010	6.551
RU084207853=		
RU084207853=	10/17/2012	6.95
RU022371592=		
RU022371592=	6/30/2005	6.25
RU081059683=		
RU081059683=	8/6/2012	9.5
IT047367115=		
IT047367115=	12/15/2009	12.25
LU043836226=		
LU043836226=	7/13/2009	11.75
IT056306587=		
IT056306587=	11/26/2010	7.25
BM092346536=		
BM092346536=	4/29/2013	6.5
/RU25068RMFS=MM		
/RU25068RMFS=MM	8/26/2009	12
/RU25071RMFS=MM		
/RU25071RMFS=MM	12/2/2009	8.1
/RU25075RMFS=MM		
/RU25075RMFS=MM	7/28/2010	6.88
/RU25077RMFS=MM		
/RU25077RMFS=MM	1/26/2011	7.35
/RU25079RMFS=MM		
/RU25079RMFS=MM	6/1/2011	7
/RU25080RMFS=MM		
/RU25080RMFS=MM	4/25/2012	7.4
/RU25081RMFS=MM		
/RU25081RMFS=MM	2/6/2013	6.2
/RU25082RMFS=MM		
/RU25082RMFS=MM	5/15/2013	6
/RU26202RMFS=MM		
/RU26202RMFS=MM	9/23/2009	11.2
/RU26203RMFS=MM		
/RU26203RMFS=MM	8/4/2010	6.9
/RU26204RMFS=MM		
/RU26204RMFS=MM	3/23/2011	7.5
/RU26205RMFS=MM		
/RU26205RMFS=MM	4/13/2011	7.6
/RU26206RMFS=MM		
/RU26206RMFS=MM	6/8/2011	7.4
/RU26207RMFS=MM		
/RU26207RMFS=MM	2/22/2012	8.15
/RU26208RMFS=MM		
/RU26208RMFS=MM	3/7/2012	7.5
/RU26209RMFS=MM		
/RU26209RMFS=MM	8/1/2012	7.6
/RU26210RMFS=MM		
/RU26210RMFS=MM	12/19/2012	6.8
/RU26211RMFS=MM		
/RU26211RMFS=MM	1/16/2013	7
/RU26212RMFS=MM		
/RU26212RMFS=MM	1/23/2013	7.05
/RU26214RMFS=MM		
/RU26214RMFS=MM	6/5/2013	6.4
/RU26215RMFS=MM		
/RU26215RMFS=MM	9/4/2013	7
/RU26216RMFS=MM		
/RU26216RMFS=MM	11/13/2013	6.7
/RU46005RMFS=MM		
/RU46005RMFS=MM	3/6/2003	0
/RU46007RMFS=MM		
/RU46007RMFS=MM	2/14/2003	0
/RU46008RMFS=MM		
/RU46008RMFS=MM	2/27/2003	0
/RU46009RMFS=MM		
/RU46009RMFS=MM	2/14/2003	0
/RU46010RMFS=MM		
/RU46010RMFS=MM	2/14/2003	0
/RU46010RMFS=MM	6/6/2012	10
/RU46011RMFS=MM		
/RU46011RMFS=MM	2/14/2003	0
/RU46011RMFS=MM	9/5/2012	10
/RU46012RMFS=MM		
/RU46012RMFS=MM	2/14/2003	3.08
/RU46012RMFS=MM	10/8/2003	1.05
/RU46012RMFS=MM	10/6/2004	0.34
/RU46012RMFS=MM	10/5/2005	1.21
/RU46012RMFS=MM	10/4/2006	0.71
/RU46012RMFS=MM	10/3/2007	1.57
/RU46012RMFS=MM	10/1/2008	0.89
/RU46012RMFS=MM	9/30/2009	1.95
/RU46012RMFS=MM	9/29/2010	2.903
/RU46012RMFS=MM	9/28/2011	3.741
